"genome" "cluster2"
"GCA_003165535.1" 147
"GCF_009835145.1" 148
"GCA_903853385.1" 149
"GCA_014859895.1" 150
"GCA_002256285.1" 151
"GCA_012270485.1" 152
"GCF_000525995.1" 153
"GCA_002279055.1" 154
"GCF_000620105.1" 155
"GCA_018241405.1" 156
"GCA_003552985.1" 157
"GCA_002281755.1" 158
"GCA_002287155.1" 159
"GCA_009920665.1" 160
"GCA_002292135.1" 161
"GCA_910587235.1" 162
"GCF_001940785.1" 163
"GCF_017051665.1" 164
"GCA_002298165.1" 165
"GCF_013403875.1" 166
"GCA_012519635.1" 167
"GCA_002305415.1" 168
"GCA_002307215.1" 169
"GCA_002316385.1" 170
"GCA_002316455.1" 171
"GCA_017459895.1" 172
"GCA_011605805.1" 173
"GCA_016212105.1" 174
"GCF_003333305.1" 175
"GCA_903857895.1" 176
"GCA_002786715.1" 177
"GCA_002341865.1" 178
"GCF_010179695.1" 179
"GCA_003245895.1" 180
"GCF_000769895.1" 181
"GCA_017303995.1" 182
"GCA_012517765.1" 183
"GCA_008633435.1" 184
"GCA_002347645.1" 185
"GCA_003650365.1" 186
"GCA_002352385.1" 187
"GCA_008579105.1" 188
"GCA_016201275.1" 189
"GCA_017643685.1" 190
"GCA_003599505.1" 191
"GCF_000178335.1" 192
"GCA_002383695.1" 193
"GCA_012729505.1" 194
"GCA_900760945.1" 195
"GCA_017647025.1" 196
"GCF_018448785.1" 197
"GCA_009925945.1" 198
"GCA_002380195.1" 199
"GCA_903892645.1" 200
"GCF_002858715.1" 201
"GCA_019249295.1" 202
"GCA_005878295.1" 203
"GCF_001476695.1" 204
"GCA_002427125.1" 205
"GCA_012728295.1" 206
"GCA_017405945.1" 207
"GCA_002389745.1" 208
"GCA_013694625.1" 209
"GCA_900754345.1" 210
"GCA_013152355.1" 211
"GCF_018617315.1" 212
"GCA_903844915.1" 213
"GCA_002414225.1" 214
"GCA_009842775.1" 215
"GCA_012838275.1" 216
"GCA_019187665.1" 217
"GCA_017470005.1" 218
"GCA_017441265.1" 219
"GCF_018138385.1" 220
"GCF_014196955.1" 221
"GCA_002771315.1" 222
"GCA_002427745.1" 223
"GCA_002428325.1" 224
"GCA_903881465.1" 225
"GCA_016936575.1" 226
"GCA_002429085.1" 227
"GCF_002251085.2" 228
"GCA_002839095.1" 229
"GCA_018676455.1" 230
"GCA_003558435.1" 231
"GCA_007135605.1" 232
"GCA_910583885.1" 233
"GCA_002449585.1" 234
"GCA_002450905.1" 235
"GCA_007134225.1" 236
"GCF_003946385.1" 237
"GCF_001885585.1" 238
"GCF_007097385.1" 239
"GCA_002473315.1" 240
"GCA_002480485.1" 241
"GCA_910587655.1" 242
"GCF_008107725.1" 243
"GCA_002483085.1" 244
"GCA_007693295.1" 245
"GCA_016788705.1" 246
"GCA_017645365.1" 247
"GCF_000986985.1" 248
"GCA_018711655.1" 249
"GCA_002506595.1" 250
"GCF_018327645.1" 251
"GCA_002591745.1" 252
"GCA_015903955.1" 253
"GCA_014237855.1" 254
"GCA_018432315.1" 255
"GCF_900496965.1" 256
"GCA_016873715.1" 257
"GCA_003316695.1" 258
"GCA_011049865.1" 259
"GCF_900107695.1" 260
"GCF_003590715.1" 261
"GCA_013214665.1" 262
"GCF_000293785.1" 263
"GCA_002699025.1" 264
"GCA_002731375.1" 265
"GCA_018222965.1" 266
"GCF_006964045.1" 267
"GCA_910588555.1" 268
"GCA_014379625.1" 269
"GCA_002715965.1" 270
"GCA_002724395.1" 271
"GCF_000346505.1" 272
"GCA_003130845.1" 273
"GCA_014238945.1" 274
"GCA_903913145.1" 275
"GCA_016929525.1" 276
"GCA_002742765.1" 277
"GCF_018785315.1" 278
"GCA_017640445.1" 279
"GCA_905215055.1" 280
"GCA_002771845.1" 281
"GCA_018241325.1" 282
"GCA_018365265.1" 283
"GCA_008501735.1" 284
"GCA_002786785.1" 285
"GCA_903916145.1" 286
"GCF_011753235.1" 287
"GCF_001639905.1" 288
"GCA_012727625.1" 289
"GCA_017534885.1" 290
"GCA_903834995.1" 291
"GCA_905372435.1" 292
"GCA_013911685.1" 293
"GCF_900101595.1" 294
"GCA_002841295.1" 295
"GCA_018897395.1" 296
"GCA_017643785.1" 297
"GCA_903874865.1" 298
"GCA_002862205.1" 299
"GCA_014728125.1" 300
"GCA_903932025.1" 301
"GCA_018970505.1" 302
"GCA_009921245.1" 303
"GCF_001673755.1" 304
"GCA_002869615.1" 305
"GCA_017853055.1" 306
"GCA_016841025.1" 307
"GCF_016907015.1" 308
"GCF_001886115.1" 309
"GCA_014192315.1" 310
"GCF_002929745.1" 311
"GCA_002919305.1" 312
"GCF_002927045.1" 313
"GCA_019038815.1" 314
"GCA_903919315.1" 315
"GCF_018333315.1" 316
"GCA_900541495.1" 317
"GCA_003022385.1" 318
"GCA_018814905.1" 319
"GCA_011620265.1" 320
"GCF_000566705.1" 321
"GCA_003133225.1" 322
"GCF_000282835.1" 323
"GCA_005877775.1" 324
"GCF_002379095.1" 325
"GCA_012837295.1" 326
"GCA_900549525.1" 327
"GCF_001693485.1" 328
"GCF_900129945.1" 329
"GCA_003154225.1" 330
"GCF_002271615.1" 331
"GCA_016185015.1" 332
"GCF_004343725.1" 333
"GCF_011045125.1" 334
"GCA_003162425.1" 335
"GCF_001435585.1" 336
"GCA_009840005.1" 337
"GCF_001655685.1" 338
"GCF_014897395.1" 339
"GCA_012839035.1" 340
"GCA_016793875.1" 341
"GCA_003165415.1" 342
"GCA_902810705.1" 343
"GCF_003347515.1" 344
"GCF_007993865.1" 345
"GCA_003167495.1" 346
"GCA_003168255.1" 347
"GCA_003221755.1" 348
"GCA_903919215.1" 349
"GCA_003222115.1" 350
"GCF_001028175.1" 351
"GCA_003223515.1" 352
"GCF_003851045.1" 353
"GCA_905176665.1" 354
"GCA_014190675.1" 355
"GCA_018240295.1" 356
"GCF_000719115.1" 357
"GCA_019192585.1" 358
"GCA_902805975.1" 359
"GCA_013140805.1" 360
"GCA_003243425.1" 361
"GCF_016628345.1" 362
"GCF_001553805.1" 363
"GCA_013360215.1" 364
"GCA_009841435.1" 365
"GCA_902810735.1" 366
"GCF_002167005.1" 367
"GCA_009697815.1" 368
"GCA_003249015.1" 369
"GCA_003250355.1" 370
"GCF_001431415.1" 371
"GCA_003261315.1" 372
"GCA_003263845.1" 373
"GCA_012517065.1" 374
"GCA_003354135.1" 375
"GCA_905215155.1" 376
"GCF_000473865.1" 377
"GCA_003512645.1" 378
"GCA_003553225.1" 379
"GCA_905200215.1" 380
"GCF_009857845.1" 381
"GCA_003554885.1" 382
"GCA_012519495.1" 383
"GCA_017453745.1" 384
"GCF_014595835.1" 385
"GCF_003576095.1" 386
"GCA_017550625.1" 387
"GCF_016102335.1" 388
"GCF_007991215.1" 389
"GCA_007693965.1" 390
"GCA_017549025.1" 391
"GCA_018712825.1" 392
"GCA_903930565.1" 393
"GCA_003574785.1" 394
"GCA_903885585.1" 395
"GCA_003576905.1" 396
"GCA_003577005.1" 397
"GCA_900298995.1" 398
"GCF_014201835.1" 399
"GCA_017746755.1" 400
"GCA_013002305.1" 401
"GCA_018969225.1" 402
"GCA_003697105.1" 403
"GCA_003818285.1" 404
"GCF_000701665.1" 405
"GCA_014381505.1" 406
"GCA_003859965.1" 407
"GCA_902364635.1" 408
"GCA_005879525.1" 409
"GCA_019235885.1" 410
"GCA_018336035.1" 411
"GCF_014647655.1" 412
"GCA_004116495.1" 413
"GCF_005405105.1" 414
"GCA_004173255.1" 415
"GCF_016533505.1" 416
"GCF_003116015.1" 417
"GCF_009812035.1" 418
"GCA_013299175.1" 419
"GCA_004293075.1" 420
"GCA_903864895.1" 421
"GCA_903845065.1" 422
"GCF_004363725.1" 423
"GCA_017996215.1" 424
"GCA_004297765.1" 425
"GCF_000306035.1" 426
"GCA_004799435.1" 427
"GCF_001038985.1" 428
"GCA_004322545.1" 429
"GCA_004348015.1" 430
"GCF_007858185.1" 431
"GCF_009904055.1" 432
"GCA_004366385.1" 433
"GCF_003012745.1" 434
"GCA_004551945.1" 435
"GCF_003957255.1" 436
"GCF_005116575.1" 437
"GCF_000953825.1" 438
"GCF_007625085.1" 439
"GCF_902859895.1" 440
"GCA_900755555.1" 441
"GCA_013140705.1" 442
"GCA_007693485.1" 443
"GCA_018969865.1" 444
"GCA_005879255.1" 445
"GCF_900182695.1" 446
"GCF_009711215.1" 447
"GCF_004358695.1" 448
"GCA_005883405.1" 449
"GCF_008801975.1" 450
"GCF_002028455.1" 451
"GCA_019263595.1" 452
"GCF_001476815.1" 453
"GCA_005888745.1" 454
"GCF_000421625.1" 455
"GCA_903906365.1" 456
"GCA_006226965.1" 457
"GCA_007050895.1" 458
"GCA_007127105.1" 459
"GCA_007131245.1" 460
"GCA_903834825.1" 461
"GCF_007989585.1" 462
"GCA_013214775.1" 463
"GCA_015231175.1" 464
"GCA_009838965.1" 465
"GCF_013179515.1" 466
"GCF_009811655.1" 467
"GCA_011525755.1" 468
"GCA_016794585.1" 469
"GCA_905202055.1" 470
"GCA_009268125.1" 471
"GCA_009377375.1" 472
"GCF_009827095.1" 473
"GCA_009377585.1" 474
"GCF_011839805.1" 475
"GCA_009377735.1" 476
"GCF_014897705.1" 477
"GCF_007096345.1" 478
"GCF_902705885.1" 479
"GCF_900113255.1" 480
"GCA_018645365.1" 481
"GCA_013377095.1" 482
"GCA_017523995.1" 483
"GCA_013298565.1" 484
"GCF_000425365.1" 485
"GCA_009711785.1" 486
"GCF_014897125.1" 487
"GCA_012718935.1" 488
"GCF_001295845.1" 489
"GCA_017411925.1" 490
"GCA_012521525.1" 491
"GCF_001968815.1" 492
"GCA_009776515.1" 493
"GCA_009779915.1" 494
"GCA_017859495.1" 495
"GCA_009784625.1" 496
"GCA_009786085.1" 497
"GCA_009787175.1" 498
"GCA_018608985.1" 499
"GCA_016790075.1" 500
"GCF_900129305.1" 501
"GCA_018266795.1" 502
"GCF_014192055.1" 503
"GCA_014382375.1" 504
"GCA_016787015.1" 505
"GCF_003337415.1" 506
"GCA_009917505.1" 507
"GCA_009921265.1" 508
"GCA_013003535.1" 509
"GCA_009924525.1" 510
"GCA_903856995.1" 511
"GCA_017880775.1" 512
"GCA_010206225.2" 513
"GCA_010672585.1" 514
"GCA_010692395.1" 515
"GCF_000817785.2" 516
"GCF_002869745.1" 517
"GCA_016710625.1" 518
"GCA_018970725.1" 519
"GCA_016870475.1" 520
"GCF_008630065.1" 521
"GCF_900323515.1" 522
"GCA_903884065.1" 523
"GCA_013001885.1" 524
"GCA_016713015.1" 525
"GCA_011524325.1" 526
"GCF_005116645.1" 527
"GCA_016937175.1" 528
"GCF_000337495.1" 529
"GCA_016794525.1" 530
"GCA_019038695.1" 531
"GCA_903920625.1" 532
"GCA_012031035.1" 533
"GCA_012031565.1" 534
"GCA_012034655.1" 535
"GCF_000515115.1" 536
"GCA_012516855.1" 537
"GCA_016793625.1" 538
"GCF_001517865.1" 539
"GCA_012728115.1" 540
"GCA_012518815.1" 541
"GCA_905194555.1" 542
"GCA_018703155.1" 543
"GCA_016838825.1" 544
"GCA_900543715.1" 545
"GCA_012519775.1" 546
"GCF_000472625.1" 547
"GCA_012520835.1" 548
"GCF_900112085.1" 549
"GCA_012521625.1" 550
"GCA_903821505.1" 551
"GCA_903938915.1" 552
"GCA_012719125.1" 553
"GCF_000484695.1" 554
"GCA_012719515.1" 555
"GCF_000176335.1" 556
"GCA_012837645.1" 557
"GCA_014361245.1" 558
"GCA_017434185.1" 559
"GCA_014859605.1" 560
"GCA_013314815.1" 561
"GCF_000620125.1" 562
"GCA_015521325.1" 563
"GCA_019117445.1" 564
"GCA_012839065.1" 565
"GCA_012838865.1" 566
"GCA_903883945.1" 567
"GCF_003711845.1" 568
"GCA_012961955.1" 569
"GCA_903844815.1" 570
"GCA_013002165.1" 571
"GCA_013003335.1" 572
"GCA_013003715.1" 573
"GCF_013404005.1" 574
"GCA_013114725.1" 575
"GCA_013138735.1" 576
"GCA_013138975.1" 577
"GCA_016342715.1" 578
"GCA_017515305.1" 579
"GCF_900096565.1" 580
"GCF_009618275.1" 581
"GCF_000426865.1" 582
"GCA_903895695.1" 583
"GCA_903898885.1" 584
"GCF_001528745.1" 585
"GCA_013697915.1" 586
"GCA_019244055.1" 587
"GCA_900109895.1" 588
"GCF_000156575.1" 589
"GCF_007997215.1" 590
"GCA_013214565.1" 591
"GCF_000315035.1" 592
"GCA_013215505.1" 593
"GCA_013216015.1" 594
"GCA_013297945.1" 595
"GCF_001636845.1" 596
"GCA_013298955.1" 597
"GCA_016927835.1" 598
"GCF_001695625.1" 599
"GCA_016215105.1" 600
"GCF_003730295.1" 601
"GCF_002157355.1" 602
"GCA_905480575.1" 603
"GCA_013816485.1" 604
"GCA_014238155.1" 605
"GCF_000425625.1" 606
"GCF_000315235.1" 607
"GCF_003286075.1" 608
"GCA_903898725.1" 609
"GCF_014637345.1" 610
"GCA_016342755.1" 611
"GCF_001315805.1" 612
"GCA_013823605.1" 613
"GCA_014132315.1" 614
"GCA_014190015.1" 615
"GCF_001038755.1" 616
"GCA_014237365.1" 617
"GCA_017639935.1" 618
"GCF_001707915.1" 619
"GCF_004011885.1" 620
"GCA_014385025.1" 621
"GCA_905479495.1" 622
"GCF_014639255.1" 623
"GCA_017303475.1" 624
"GCA_014728115.1" 625
"GCA_014728225.1" 626
"GCA_019239895.1" 627
"GCF_004123805.1" 628
"GCA_902812495.1" 629
"GCA_019187025.1" 630
"GCF_900174585.1" 631
"GCA_014879945.1" 632
"GCA_014896555.1" 633
"GCA_903867305.1" 634
"GCF_000613525.1" 635
"GCA_015057915.1" 636
"GCA_015207365.1" 637
"GCA_015228685.1" 638
"GCF_000331535.1" 639
"GCA_015233565.1" 640
"GCF_009767905.1" 641
"GCA_015272205.1" 642
"GCA_015272335.1" 643
"GCA_015351715.1" 644
"GCA_910588795.1" 645
"GCA_015486235.1" 646
"GCA_015486845.1" 647
"GCF_016899775.1" 648
"GCA_015490265.1" 649
"GCF_003946085.1" 650
"GCA_903920315.1" 651
"GCA_015655375.1" 652
"GCA_903843295.1" 653
"GCA_015662225.1" 654
"GCA_016082275.1" 655
"GCF_000256565.1" 656
"GCA_016124855.1" 657
"GCA_910587785.1" 658
"GCA_016178015.1" 659
"GCF_000826655.1" 660
"GCA_016179685.1" 661
"GCF_000731095.1" 662
"GCF_002735705.1" 663
"GCA_903893525.1" 664
"GCF_004343705.1" 665
"GCA_016870915.1" 666
"GCA_016208255.1" 667
"GCA_903899985.1" 668
"GCF_009601025.1" 669
"GCA_016210115.1" 670
"GCA_016213775.1" 671
"GCA_016215025.1" 672
"GCA_016215705.1" 673
"GCF_003934165.1" 674
"GCA_903846015.1" 675
"GCA_016219875.1" 676
"GCA_903884795.1" 677
"GCF_000190475.1" 678
"GCA_900752515.1" 679
"GCA_016290455.1" 680
"GCA_910579045.1" 681
"GCA_905199365.1" 682
"GCA_019192485.1" 683
"GCA_016342595.1" 684
"GCF_013359755.1" 685
"GCA_016707735.1" 686
"GCA_016711515.1" 687
"GCF_012933365.1" 688
"GCF_007678955.1" 689
"GCF_005938385.1" 690
"GCF_900188145.1" 691
"GCF_007714205.1" 692
"GCA_016718825.1" 693
"GCF_000620785.1" 694
"GCF_015207655.1" 695
"GCF_003667345.1" 696
"GCF_014200515.1" 697
"GCF_003966225.1" 698
"GCF_018501175.1" 699
"GCF_004365685.1" 700
"GCA_016781205.1" 701
"GCA_016787295.1" 702
"GCA_016787415.1" 703
"GCF_001904725.1" 704
"GCA_903847325.1" 705
"GCA_016789605.1" 706
"GCA_016789905.1" 707
"GCF_001280445.1" 708
"GCA_016793245.1" 709
"GCA_016793325.1" 710
"GCA_016793485.1" 711
"GCA_016793885.1" 712
"GCF_001522865.1" 713
"GCA_016794445.1" 714
"GCA_016794615.1" 715
"GCF_002553585.1" 716
"GCA_016795425.1" 717
"GCF_006539545.1" 718
"GCF_017912555.1" 719
"GCF_012272825.1" 720
"GCA_016870995.1" 721
"GCA_016871575.1" 722
"GCF_001815965.1" 723
"GCA_016874775.1" 724
"GCA_016875015.1" 725
"GCA_016928775.1" 726
"GCA_018609755.1" 727
"GCA_016937775.1" 728
"GCF_012911025.1" 729
"GCF_012911925.1" 730
"GCA_017306615.1" 731
"GCF_002188465.1" 732
"GCF_900172285.1" 733
"GCA_017307505.1" 734
"GCA_017403345.1" 735
"GCA_017405085.1" 736
"GCA_017439545.1" 737
"GCA_017511465.1" 738
"GCA_017524345.1" 739
"GCF_900103545.1" 740
"GCA_905199955.1" 741
"GCA_017643905.1" 742
"GCF_001623285.1" 743
"GCA_017853135.1" 744
"GCA_018882835.1" 745
"GCA_017856665.1" 746
"GCA_905236565.1" 747
"GCA_017859085.1" 748
"GCF_008040085.1" 749
"GCF_003385555.1" 750
"GCA_017889205.1" 751
"GCA_017898095.1" 752
"GCF_013166635.1" 753
"GCF_017353515.1" 754
"GCF_016461715.1" 755
"GCA_018240325.1" 756
"GCA_903894175.1" 757
"GCF_003797145.1" 758
"GCA_018260445.1" 759
"GCF_900109805.1" 760
"GCF_007923355.1" 761
"GCA_018268465.1" 762
"GCF_900110295.1" 763
"GCF_011038995.1" 764
"GCA_018371275.1" 765
"GCA_018587965.1" 766
"GCF_000378205.1" 767
"GCA_018701255.1" 768
"GCF_004378355.1" 769
"GCF_001575155.1" 770
"GCF_003337375.1" 771
"GCA_018819135.1" 772
"GCF_004369245.1" 773
"GCA_018970215.1" 774
"GCA_019116945.1" 775
"GCF_003664595.1" 776
"GCA_019237945.1" 777
"GCA_903960845.1" 778
"GCA_019243445.1" 779
"GCA_019244045.1" 780
"GCA_019249195.1" 781
"GCF_004353185.1" 782
"GCF_003122325.1" 783
"GCA_900474095.1" 784
"GCA_903927965.1" 785
"GCF_905250085.1" 786
"GCA_900547135.1" 787
"GCA_902168175.1" 788
"GCA_905233855.1" 789
"GCA_900769625.1" 790
"GCA_902806335.1" 791
"GCF_900634745.1" 792
"GCA_902825945.1" 793
"GCA_902826075.1" 794
"GCA_903929065.1" 795
"GCF_018861085.1" 796
"GCA_903881085.1" 797
"GCF_018403685.1" 798
"GCA_903903185.1" 799
"GCF_013149295.1" 800
"GCA_903911305.1" 801
"GCA_903912925.1" 802
"GCA_903913645.1" 803
"GCF_004000845.1" 804
"GCA_903930585.1" 805
"GCA_905196675.1" 806
"GCA_905478245.1" 807
"GCF_014284475.1" 808
"GCA_910577885.1" 809
"GCF_006175995.1" 810
"GCF_003725995.1" 811
"GCF_000155555.1" 812
"GCF_000168055.1" 813
"GCF_000169175.1" 814
"GCF_000169335.1" 815
"GCF_000171095.1" 816
"GCF_000175595.1" 817
"GCF_000227355.1" 818
"GCF_000239155.1" 819
"GCF_900096975.1" 820
"GCF_900111985.1" 821
"GCF_000247995.1" 822
"GCF_000250735.1" 823
"GCF_000251145.1" 824
"GCF_000258495.1" 825
"GCF_000337035.1" 826
"GCF_014712675.1" 827
"GCF_003710915.1" 828
"GCF_000286315.1" 829
"GCF_005747095.1" 830
"GCF_000720255.1" 831
"GCF_007859315.1" 832
"GCF_009604425.1" 833
"GCF_016909015.1" 834
"GCF_000319325.1" 835
"GCF_014642755.1" 836
"GCF_000334435.1" 837
"GCF_900100605.1" 838
"GCF_000341025.1" 839
"GCF_004361855.1" 840
"GCF_005870025.1" 841
"GCF_003026495.1" 842
"GCF_003387475.1" 843
"GCF_000379765.1" 844
"GCF_000421965.1" 845
"GCF_900107585.1" 846
"GCF_009651005.1" 847
"GCF_000424945.1" 848
"GCF_000429445.1" 849
"GCF_000429525.1" 850
"GCF_004138295.1" 851
"GCF_000482865.1" 852
"GCF_005217225.1" 853
"GCF_002156095.1" 854
"GCF_007680105.1" 855
"GCF_000521485.1" 856
"GCF_001567585.1" 857
"GCF_018790995.1" 858
"GCF_000775595.1" 859
"GCF_007992495.1" 860
"GCF_000619945.1" 861
"GCF_001591425.1" 862
"GCF_001544555.2" 863
"GCF_014534655.1" 864
"GCF_000701345.1" 865
"GCF_000709085.1" 866
"GCF_002583555.1" 867
"GCF_005981925.1" 868
"GCF_014202315.1" 869
"GCF_000717135.1" 870
"GCF_002093975.1" 871
"GCF_000717595.1" 872
"GCF_012034175.1" 873
"GCF_014534645.1" 874
"GCF_000718255.1" 875
"GCF_000719065.1" 876
"GCF_001854655.1" 877
"GCF_011766325.1" 878
"GCF_009600885.1" 879
"GCF_001418565.1" 880
"GCF_000745965.1" 881
"GCF_009674535.1" 882
"GCF_017874625.1" 883
"GCF_000813665.1" 884
"GCF_000816485.1" 885
"GCF_000829455.1" 886
"GCF_000832545.1" 887
"GCF_000968685.2" 888
"GCF_001027925.1" 889
"GCF_017104565.1" 890
"GCF_001050495.1" 891
"GCF_001067635.1" 892
"GCF_001189365.1" 893
"GCF_018919175.1" 894
"GCF_002198675.1" 895
"GCF_004010095.1" 896
"GCF_900197875.1" 897
"GCF_001515525.1" 898
"GCF_001556045.1" 899
"GCF_001650495.1" 900
"GCF_001559865.1" 901
"GCF_014651415.1" 902
"GCF_001583495.1" 903
"GCF_001587535.1" 904
"GCF_001592185.1" 905
"GCF_018129025.1" 906
"GCF_012927325.1" 907
"GCF_001742425.1" 908
"GCF_001751245.1" 909
"GCF_001885615.1" 910
"GCF_003968885.1" 911
"GCF_001984095.1" 912
"GCF_002003465.1" 913
"GCF_012926525.1" 914
"GCF_002013685.1" 915
"GCF_008386585.1" 916
"GCF_900099965.1" 917
"GCF_016861995.1" 918
"GCF_002238145.1" 919
"GCF_009910845.1" 920
"GCF_013425485.1" 921
"GCF_002646595.1" 922
"GCF_018917145.1" 923
"GCF_016909175.1" 924
"GCF_003515685.1" 925
"GCF_002937115.1" 926
"GCF_015731765.1" 927
"GCF_016863075.1" 928
"GCF_002994615.1" 929
"GCF_015499935.1" 930
"GCF_902833665.1" 931
"GCF_003115995.1" 932
"GCF_008369065.1" 933
"GCF_003201655.1" 934
"GCF_017254865.1" 935
"GCF_003236385.1" 936
"GCF_900091525.1" 937
"GCF_012034935.1" 938
"GCF_003385235.1" 939
"GCF_900188025.1" 940
"GCF_003578785.1" 941
"GCF_003598715.1" 942
"GCF_011393025.1" 943
"GCF_900299475.1" 944
"GCF_003688995.1" 945
"GCF_007050945.1" 946
"GCF_004344915.1" 947
"GCF_004348335.1" 948
"GCF_004349055.1" 949
"GCF_004522215.1" 950
"GCF_004764705.1" 951
"GCF_005889725.1" 952
"GCF_006363815.1" 953
"GCF_007004655.1" 954
"GCF_007786445.1" 955
"GCF_013072655.1" 956
"GCF_904846695.1" 957
"GCF_008017805.1" 958
"GCF_014695795.1" 959
"GCF_008365395.1" 960
"GCF_008629685.1" 961
"GCF_008923185.1" 962
"GCF_900111395.1" 963
"GCF_009711525.1" 964
"GCF_009725235.1" 965
"GCF_009754945.1" 966
"GCF_009831495.1" 967
"GCF_009862265.1" 968
"GCF_009905545.1" 969
"GCF_009911265.1" 970
"GCF_010894405.1" 971
"GCF_010894455.1" 972
"GCF_011064615.1" 973
"GCF_011683955.1" 974
"GCF_018603905.1" 975
"GCF_016888165.1" 976
"GCF_012927125.1" 977
"GCF_013004605.1" 978
"GCF_014048425.1" 979
"GCF_014138605.1" 980
"GCF_014697025.1" 981
"GCF_014645795.1" 982
"GCF_014648975.1" 983
"GCF_014697335.1" 984
"GCF_014697545.1" 985
"GCF_014698965.1" 986
"GCF_014764505.1" 987
"GCF_015762685.1" 988
"GCF_016862095.1" 989
"GCF_018332695.1" 990
"GCF_016862955.1" 991
"GCF_016863655.1" 992
"GCF_016908935.1" 993
"GCF_017377855.1" 994
"GCF_017874215.1" 995
"GCF_900101345.1" 996
"GCF_900107275.1" 997
"GCF_900112485.1" 998
